label,pot,T_K,pdamp,eq,prod,mode,a_mean_Angstrom,a_std_Angstrom,drift,mean_press_bar,std_press_bar,n_points,time_s,exit_code
eam_u3_T1200_pdamp0.5_iso,eam_u3,1200,0.5,10000,50000,iso,3.943322,0.024095,4.354889e-02,-579.54,14408.89,502,0.0,0
eam_u3_T1200_pdamp1.0_iso,eam_u3,1200,1.0,10000,50000,iso,3.942484,0.023753,4.186567e-02,48.80,19197.98,502,0.0,0
eam_u3_T1200_pdamp10.0_aniso,eam_u3,1200,10.0,10000,50000,aniso,3.943333,0.023924,4.365028e-02,181.75,18091.52,502,0.0,0
eam_u3_T1200_pdamp10.0_iso,eam_u3,1200,10.0,10000,50000,iso,3.943280,0.023069,4.371790e-02,-159.41,11797.15,502,0.0,0
eam_u3_T1200_pdamp10_long,eam_u3,1200,10.0,50000,100000,iso,3.961912,0.006185,-6.382995e-04,-80.45,10880.01,1002,0.0,0
eam_u3_T1200_pdamp1_long,eam_u3,1200,1.0,50000,100000,iso,3.961797,0.006219,-4.018153e-04,21.00,11288.67,1002,0.0,0
eam_u3_T1200_pdamp2.0_iso,eam_u3,1200,2.0,10000,50000,iso,3.943259,0.023840,4.337896e-02,84.33,18464.30,502,0.0,0
eam_u3_T300_pdamp0.5_iso,eam_u3,300,0.5,10000,50000,iso,3.925583,0.005562,8.762085e-03,-3.36,4189.76,502,0.0,0
eam_u3_T300_pdamp1.0_iso,eam_u3,300,1.0,10000,50000,iso,3.925658,0.006492,8.899434e-03,-155.16,6878.79,502,0.0,0
eam_u3_T300_pdamp10.0_aniso,eam_u3,300,10.0,10000,50000,aniso,3.925609,0.006381,8.797055e-03,-19.61,9823.16,502,0.0,0
eam_u3_T300_pdamp10.0_iso,eam_u3,300,10.0,10000,50000,iso,3.925602,0.005519,8.788091e-03,-55.79,7047.29,502,0.0,0
eam_u3_T300_pdamp10_long,eam_u3,300,10.0,50000,100000,iso,3.929670,0.002469,-5.665058e-04,-3.65,6127.59,1002,0.0,0
eam_u3_T300_pdamp1_long,eam_u3,300,1.0,50000,100000,iso,3.929906,0.004353,-3.570356e-05,-217.73,6579.76,1002,0.0,0
eam_u3_T300_pdamp2.0_iso,eam_u3,300,2.0,10000,50000,iso,3.925731,0.007249,9.181165e-03,16.06,11794.84,502,0.0,0
meam_T1200_pdamp0.5_iso,meam,1200,0.5,10000,50000,iso,3.939935,0.021279,3.698492e-02,-864.02,16136.21,502,0.0,0
meam_T1200_pdamp1.0_iso,meam,1200,1.0,10000,50000,iso,3.939926,0.020722,3.614893e-02,-11.43,15036.94,502,0.0,0
meam_T1200_pdamp10.0_iso,meam,1200,10.0,10000,50000,iso,3.939945,0.020378,3.651381e-02,177.99,10835.00,502,0.0,0
meam_T1200_pdamp10_long,meam,1200,10.0,50000,100000,iso,3.956025,0.005408,-4.415811e-04,-55.08,10126.93,1002,347.7,0
meam_T1200_pdamp1_long,meam,1200,1.0,50000,100000,iso,3.955960,0.005107,2.127737e-04,-163.88,9662.33,1002,325.3,0
meam_T1200_pdamp2.0_iso,meam,1200,2.0,10000,50000,iso,3.939937,0.020429,3.628200e-02,386.78,13588.84,502,0.0,0
meam_T300_pdamp0.5_iso,meam,300,0.5,10000,50000,iso,3.924746,0.006644,9.590907e-03,-21.08,5855.04,502,0.0,0
meam_T300_pdamp1.0_iso,meam,300,1.0,10000,50000,iso,3.924097,0.007137,8.875257e-03,1191.53,10552.97,502,0.0,0
meam_T300_pdamp10.0_iso,meam,300,10.0,10000,50000,iso,3.924677,0.006149,9.432521e-03,-113.06,5672.21,502,0.0,0
meam_T300_pdamp10_long,meam,300,10.0,50000,100000,iso,3.929227,0.003497,-3.655199e-04,-84.12,7736.80,1002,276.0,0
meam_T300_pdamp1_long,meam,300,1.0,50000,100000,iso,3.929193,0.003872,-3.280064e-04,-136.51,8112.06,1002,363.2,0
meam_T300_pdamp2.0_iso,meam,300,2.0,10000,50000,iso,3.924592,0.006600,9.344724e-03,58.22,7813.83,502,0.0,0
