x_Pt,T_K,a_Angstrom,a_std_Angstrom,n_points,drift,p_bar,p_std_bar
0.00,300,3.627262,0.004303,1002,-2.05e-04,7.7,5849.0
0.00,600,3.642824,0.002338,1002,2.25e-05,-92.2,2344.0
0.00,900,3.658739,0.006016,1002,8.08e-05,69.8,6701.1
0.00,1200,3.675255,0.009601,1002,-7.24e-04,137.4,10812.3
0.25,300,3.797614,0.003095,1002,3.51e-05,-39.6,5666.3
0.25,600,3.810840,0.004484,1002,-3.77e-05,-39.7,7873.1
0.25,900,3.821455,0.004783,1002,3.67e-04,-163.8,8134.5
0.25,1200,3.831466,0.006607,1002,-6.40e-05,-1.0,10958.0
0.50,300,3.869891,0.002728,1002,1.07e-04,5.5,5969.0
0.50,600,3.878679,0.003811,1002,-9.29e-05,61.0,8009.1
0.50,900,3.887385,0.004725,1002,7.99e-05,53.6,9568.9
0.50,1200,3.895685,0.005739,1002,-4.63e-06,76.4,11280.5
0.75,300,3.905863,0.002728,1002,-1.13e-04,26.0,6159.9
0.75,600,3.914721,0.004032,1002,-5.35e-05,-121.7,8883.0
0.75,900,3.922977,0.004964,1002,1.84e-04,157.0,10522.6
0.75,1200,3.930848,0.006015,1002,4.15e-05,15.6,12676.7
1.00,300,3.929227,0.003497,1002,-3.66e-04,-84.1,7736.8
1.00,600,3.939210,0.003700,1002,-4.04e-04,170.2,7705.6
1.00,900,3.947812,0.004716,1002,-8.84e-05,-34.4,9207.1
1.00,1200,3.956025,0.005408,1002,-4.42e-04,-55.1,10126.9
